p,refinements,shyness,smoothing,threshold,cells,dofs,gmg_its,gmg_time,sweep_time,amg_its,amg_time
1,2,1,2,0.5,4096,4913,11,0.0254747,0.00102451,17,0.00902808
1,2,1,2,1.,4096,4913,8,0.015312,0.000794225,20,0.0105131
1,2,1,3,0.5,4096,4913,10,0.0291785,0.00144207,17,0.00901814
1,2,1,3,1.,4096,4913,8,0.0186911,0.00105127,20,0.0105393
1,2,2,2,0.5,4096,4913,11,0.0245654,0.000989931,17,0.0090306
1,2,2,2,1.,4096,4913,8,0.0148723,0.000778625,20,0.0104571
1,2,2,3,0.5,4096,4913,10,0.0281584,0.0013544,17,0.00905791
1,2,2,3,1.,4096,4913,8,0.0181686,0.00100517,20,0.0104728
1,2,3,2,0.5,4096,4913,11,0.0226867,0.000904073,17,0.00902177
1,2,3,2,1.,4096,4913,8,0.0136624,0.000721245,20,0.0105135
1,2,3,3,0.5,4096,4913,10,0.0258706,0.00121323,17,0.009003
1,2,3,3,1.,4096,4913,8,0.0166358,0.000883442,20,0.0104939
1,2,4,2,0.5,4096,4913,11,0.0214006,0.000841243,17,0.00902601
1,2,4,2,1.,4096,4913,8,0.0129175,0.000670617,20,0.010498
1,2,4,3,0.5,4096,4913,10,0.0239709,0.00110967,17,0.00902697
1,2,4,3,1.,4096,4913,8,0.0154288,0.000808105,20,0.0104846
1,3,1,2,0.5,32768,35937,11,0.25787,0.00917375,20,0.0921451
1,3,1,2,1.,32768,35937,9,0.191713,0.00836117,22,0.10112
1,3,1,3,0.5,32768,35937,11,0.299453,0.010656,20,0.0933479
1,3,1,3,1.,32768,35937,8,0.201387,0.00979456,22,0.100723
1,3,2,2,0.5,32768,35937,11,0.251447,0.00903601,20,0.0922769
1,3,2,2,1.,32768,35937,9,0.18617,0.00811418,22,0.101175
1,3,2,3,0.5,32768,35937,11,0.295498,0.0104848,20,0.0925047
1,3,2,3,1.,32768,35937,8,0.19666,0.0094954,22,0.10141
1,3,3,2,0.5,32768,35937,11,0.235786,0.00864614,20,0.0923016
1,3,3,2,1.,32768,35937,9,0.173282,0.00762888,22,0.101156
1,3,3,3,0.5,32768,35937,11,0.273144,0.0098334,20,0.0922563
1,3,3,3,1.,32768,35937,8,0.18779,0.00921644,22,0.100713
1,3,4,2,0.5,32768,35937,11,0.228938,0.00828745,20,0.0929863
1,3,4,2,1.,32768,35937,9,0.166002,0.00731016,22,0.101113
1,3,4,3,0.5,32768,35937,11,0.269529,0.00976543,20,0.0917584
1,3,4,3,1.,32768,35937,8,0.179594,0.00877286,22,0.101267
1,4,1,2,0.5,262144,274625,13,2.46887,0.0965761,22,0.962356
1,4,1,2,1.,262144,274625,11,2.00091,0.0883053,24,1.04932
1,4,1,3,0.5,262144,274625,13,2.67999,0.117008,22,0.972716
1,4,1,3,1.,262144,274625,10,2.06912,0.0969958,24,1.04765
1,4,2,2,0.5,262144,274625,13,2.45213,0.090935,22,0.971488
1,4,2,2,1.,262144,274625,11,2.00649,0.0870052,24,1.06337
1,4,2,3,0.5,262144,274625,13,2.68159,0.117482,22,0.975342
1,4,2,3,1.,262144,274625,10,2.04023,0.0949141,24,1.06234
1,4,3,2,0.5,262144,274625,13,2.30816,0.114754,22,0.96677
